Class Name,Community,Rural Or Urban,Batch,District,Self Selected,Enrolled,Status
Tarvango,Tarvango,Rural,Batch 3,Tempane,36,36,Disbursement
Nwaadug (Waadigu),Wakwan(Waugkpesir),Rural,Batch 2,Garu,22,22,Disbursement
Puhug*,Puhug,Rural,Batch 3,Talensi,82,67,Disbursement
Pwalungu Nayire,Pwalungu Nayire,Rural,Batch 2,Talensi,85,85,Disbursement
Achanyeri- Goayie,Achanyeri- Goayie,Rural,Batch 3,Builsa North,132,132,Formation
Tanchingu No 1,Tanchingu No 1 ,Rural,Batch 2,Pusiga,23,23,Disbursement
Ayelbia,Ayelbia,Rural,Batch 1,Bongo,109,50,Disbursement
Vea,Vea,Rural,Batch 1,Bongo,112,25,Disbursement
Yiziesi,Yiziesi,Rural,Batch 1,Mamprugu Moagduri,77,55,Disbursement
Wundua,Wundua,Rural,Batch 1,East Mamprusi,241,91,Disbursement
Gbedema-Golluk,Gbedema-Golluk,Rural,Batch 1,Builsa South,55,30,Disbursement
Goohe,Goohe,Rural,Batch 1,Nabdam,124,102,Disbursement
Bugpiigu,Bugpiigu ,Rural,Batch 1,Tempane,150,142,Disbursement
Chamota,Chamota,Rural,Batch 1,Pusiga,71,56,Disbursement
Fumbisi-Chiok,Fumbisi-Chiok,Rural,Batch 3,Builsa South,147,138,Disbursement
Kpatorigu,Kpatorigu,Rural,Batch 2,Mamprugu Moagduri,42,42,Disbursement
